stkcd,year,city,DEPTH,EXTEND,DIG,DID,policy1,policy2,CRE,IA,UD,RES_TOPSIS,FAG,LE,OPEN,GOV,DIS,DEVELOP,ADAPT,RECOVER,RESIS,RES,AGE,PROFIT,BOARD,TOP5,RD,SIZE,SDS,CSP,CSC,instrument1,instrument2,IPP,AGE2,DIDtime
1736,2021,84,0.4241251,0.07,0,0,0,0,0.17,0.11,0.2138,0.627111,1.5,13.281825,7.57861,0.27,4.446837,0.3797717,0.3193572,0.3225176,0.3284509,0.3836846,6,0.61,9,0.34,1.39,21.12,1,0.5,1,6,0,0,36,0
1736,2022,84,0.4540412,0.1,0,0,0,0,0.21,0.11,0.223,0.6276848,1.45,13.744999,7.63516,0.27,4.446837,0.4291304,0.3475851,0.4075535,0.3362873,0.3495695,7,-0.14,9,0.42,1.39,21.11,1,0.5,1,13,0,0,49,0
1737,2017,48,0.4636881,0.32,0,0,1,0,-0.11,0.01,0.2808,0.4147139,1.38,8.5485726,8.56012,0.25,4.446837,0.3537699,0.2851982,0.3396395,0.1981341,0.4860812,0,0.58,9,0.51,5.75,20.99,0,0.5,1,60,0,1,0,0
1737,2018,48,0.3504301,0.02,1,0,1,0,-0.22,0.02,0.293,0.4224275,1.29,8.6754694,8.35498,0.26,4.446837,0.4209973,0.288297,0.3511144,0.2563363,0.4256161,1,0.8,9,0.51,5.03,20.64,0,0.5,1,54,0,1,1,0
1737,2019,48,0.3258474,0.01,1,0,1,0,-0.2,0.02,0.3056,0.4224859,1.1,8.9927115,8.42696,0.21,4.446837,0.4337412,0.2801197,0.3892263,0.299183,0.3942773,2,0.4,9,0.51,5.42,20.8,0,0.5,1,87,0,1,4,0
1737,2020,48,0.2426783,0.01,1,0,1,0,-0.16,0.02,0.3044,0.4286184,1.23,9.5574025,8.46295,0.21,4.446837,0.453364,0.2996653,0.4049146,0.3385025,0.3539921,3,0.32,7,0.57,5.57,20.88,0,0.5,1,87,0,1,9,0
1737,2021,48,0.1823778,0.02,1,0,1,0,-0.19,0.12,0.2339,0.4298895,1.29,10.160163,8.4938,0.2,4.446837,0.4054831,0.3915134,0.3917164,0.3561921,0.306376,4,0.39,7,0.63,6.41,20.93,1,0.5,1,87,0,1,16,0
1737,2022,48,0.3073803,0.01,1,0,1,0,-0.18,0.38,0.2375,0.4268044,1.26,10.572577,8.52465,0.2,4.446837,0.3954459,0.4065086,0.3918764,0.3606128,0.2993668,5,0.39,7,0.62,6.74,21.04,1,0.5,1,51,0,1,25,0
1738,2017,52,0.2002458,0.05,0,0,0,0,0.02,0.02,0.2729,0.4127012,0.93,5.2048405,7.31125,0.08,4.446837,0.4232495,0.3657721,0.270564,0.2719076,0.3982533,1,1.32,9,0.35,6.1,20.61,1,0.5,1,22,22,1,1,0
1738,2018,52,0.2223762,0.03,1,0,0,0,0.01,0.01,0.19,0.4192764,0.62,5.3253925,7.34724,0.08,4.446837,0.4340346,0.3237088,0.2809719,0.2797847,0.4058529,2,1.57,9,0.34,6.01,20.76,1,0.5,1,26,26,1,4,0
